Original Adjacency List:
0 <-> 0 [0.000000]
0 <-> 0 [0.000000]
0 <-> 1 [1086569600.000000]
0 <-> 2 [26277240.000000]
0 <-> 3 [14068123.000000]
0 <-> 4 [16379281.000000]
0 <-> 5 [26277240.000000]
0 <-> 6 [11293509.000000]
0 <-> 7 [21386838.000000]
0 <-> 8 [21894910.000000]
0 <-> 9 [4689374.500000]
0 <-> 10 [13263554.000000]
0 <-> 1 [1086569600.000000]
0 <-> 2 [26277240.000000]
0 <-> 3 [14068123.000000]
0 <-> 4 [16379281.000000]
0 <-> 5 [26277240.000000]
0 <-> 6 [11293509.000000]
0 <-> 7 [21386838.000000]
0 <-> 8 [21894910.000000]
0 <-> 9 [4689374.500000]
0 <-> 10 [13263554.000000]
1 <-> 0 [1086569600.000000]
1 <-> 0 [1086569600.000000]
1 <-> 1 [0.000000]
1 <-> 1 [0.000000]
1 <-> 2 [1073741824.000000]
1 <-> 3 [1073872896.000000]
1 <-> 4 [1073815552.000000]
1 <-> 5 [1073741824.000000]
1 <-> 6 [1082203648.000000]
1 <-> 7 [1065520384.000000]
1 <-> 8 [1065485312.000000]
1 <-> 9 [1084391808.000000]
1 <-> 10 [1073907712.000000]
1 <-> 2 [1073741824.000000]
1 <-> 3 [1073872896.000000]
1 <-> 4 [1073815552.000000]
1 <-> 5 [1073741824.000000]
1 <-> 6 [1082203648.000000]
1 <-> 7 [1065520384.000000]
1 <-> 8 [1065485312.000000]
1 <-> 9 [1084391808.000000]
1 <-> 10 [1073907712.000000]
2 <-> 0 [26277240.000000]
2 <-> 1 [1073741824.000000]
2 <-> 0 [26277240.000000]
2 <-> 1 [1073741824.000000]
2 <-> 2 [0.000000]
2 <-> 2 [0.000000]
2 <-> 3 [16777216.000000]
2 <-> 4 [12582912.000000]
2 <-> 5 [0.000000]
2 <-> 6 [15122778.000000]
2 <-> 7 [20654552.000000]
2 <-> 8 [18757498.000000]
2 <-> 9 [21591502.000000]
2 <-> 10 [18874368.000000]
2 <-> 3 [16777216.000000]
2 <-> 4 [12582912.000000]
2 <-> 5 [0.000000]
2 <-> 6 [15122778.000000]
2 <-> 7 [20654552.000000]
2 <-> 8 [18757498.000000]
2 <-> 9 [21591502.000000]
2 <-> 10 [18874368.000000]
3 <-> 0 [14068123.000000]
3 <-> 1 [1073872896.000000]
3 <-> 2 [16777216.000000]
3 <-> 0 [14068123.000000]
3 <-> 1 [1073872896.000000]
3 <-> 2 [16777216.000000]
3 <-> 3 [0.000000]
3 <-> 3 [0.000000]
3 <-> 4 [4194304.000000]
3 <-> 5 [16777216.000000]
3 <-> 6 [9378749.000000]
3 <-> 7 [8646779.000000]
3 <-> 8 [8388608.000000]
3 <-> 9 [10693419.000000]
3 <-> 10 [2097152.000000]
3 <-> 4 [4194304.000000]
3 <-> 5 [16777216.000000]
3 <-> 6 [9378749.000000]
3 <-> 7 [8646779.000000]
3 <-> 8 [8388608.000000]
3 <-> 9 [10693419.000000]
3 <-> 10 [2097152.000000]
4 <-> 0 [16379281.000000]
4 <-> 1 [1073815552.000000]
4 <-> 2 [12582912.000000]
4 <-> 3 [4194304.000000]
4 <-> 0 [16379281.000000]
4 <-> 1 [1073815552.000000]
4 <-> 2 [12582912.000000]
4 <-> 3 [4194304.000000]
4 <-> 4 [0.000000]
4 <-> 4 [0.000000]
4 <-> 5 [12582912.000000]
4 <-> 6 [8388608.000000]
4 <-> 7 [10485760.000000]
4 <-> 8 [9378749.000000]
4 <-> 9 [12228392.000000]
4 <-> 10 [6291456.000000]
4 <-> 5 [12582912.000000]
4 <-> 6 [8388608.000000]
4 <-> 7 [10485760.000000]
4 <-> 8 [9378749.000000]
4 <-> 9 [12228392.000000]
4 <-> 10 [6291456.000000]
5 <-> 0 [26277240.000000]
5 <-> 1 [1073741824.000000]
5 <-> 2 [0.000000]
5 <-> 3 [16777216.000000]
5 <-> 4 [12582912.000000]
5 <-> 0 [26277240.000000]
5 <-> 1 [1073741824.000000]
5 <-> 2 [0.000000]
5 <-> 3 [16777216.000000]
5 <-> 4 [12582912.000000]
5 <-> 5 [0.000000]
5 <-> 5 [0.000000]
5 <-> 6 [15122778.000000]
5 <-> 7 [20654552.000000]
5 <-> 8 [18757498.000000]
5 <-> 9 [21591502.000000]
5 <-> 10 [18874368.000000]
5 <-> 6 [15122778.000000]
5 <-> 7 [20654552.000000]
5 <-> 8 [18757498.000000]
5 <-> 9 [21591502.000000]
5 <-> 10 [18874368.000000]
6 <-> 0 [11293509.000000]
6 <-> 1 [1082203648.000000]
6 <-> 2 [15122778.000000]
6 <-> 3 [9378749.000000]
6 <-> 4 [8388608.000000]
6 <-> 5 [15122778.000000]
6 <-> 0 [11293509.000000]
6 <-> 1 [1082203648.000000]
6 <-> 2 [15122778.000000]
6 <-> 3 [9378749.000000]
6 <-> 4 [8388608.000000]
6 <-> 5 [15122778.000000]
6 <-> 6 [0.000000]
6 <-> 6 [0.000000]
6 <-> 7 [17918074.000000]
6 <-> 8 [17293558.000000]
6 <-> 9 [6631777.000000]
6 <-> 10 [10485760.000000]
6 <-> 7 [17918074.000000]
6 <-> 8 [17293558.000000]
6 <-> 9 [6631777.000000]
6 <-> 10 [10485760.000000]
7 <-> 0 [21386838.000000]
7 <-> 1 [1065520384.000000]
7 <-> 2 [20654552.000000]
7 <-> 3 [8646779.000000]
7 <-> 4 [10485760.000000]
7 <-> 5 [20654552.000000]
7 <-> 6 [17918074.000000]
7 <-> 0 [21386838.000000]
7 <-> 1 [1065520384.000000]
7 <-> 2 [20654552.000000]
7 <-> 3 [8646779.000000]
7 <-> 4 [10485760.000000]
7 <-> 5 [20654552.000000]
7 <-> 6 [17918074.000000]
7 <-> 7 [0.000000]
7 <-> 7 [0.000000]
7 <-> 8 [2097152.000000]
7 <-> 9 [18874368.000000]
7 <-> 10 [8388608.000000]
7 <-> 8 [2097152.000000]
7 <-> 9 [18874368.000000]
7 <-> 10 [8388608.000000]
8 <-> 0 [21894910.000000]
8 <-> 1 [1065485312.000000]
8 <-> 2 [18757498.000000]
8 <-> 3 [8388608.000000]
8 <-> 4 [9378749.000000]
8 <-> 5 [18757498.000000]
8 <-> 6 [17293558.000000]
8 <-> 7 [2097152.000000]
8 <-> 0 [21894910.000000]
8 <-> 1 [1065485312.000000]
8 <-> 2 [18757498.000000]
8 <-> 3 [8388608.000000]
8 <-> 4 [9378749.000000]
8 <-> 5 [18757498.000000]
8 <-> 6 [17293558.000000]
8 <-> 7 [2097152.000000]
8 <-> 8 [0.000000]
8 <-> 8 [0.000000]
8 <-> 9 [18990520.000000]
8 <-> 10 [8646779.000000]
8 <-> 9 [18990520.000000]
8 <-> 10 [8646779.000000]
9 <-> 0 [4689374.500000]
9 <-> 1 [1084391808.000000]
9 <-> 2 [21591502.000000]
9 <-> 3 [10693419.000000]
9 <-> 4 [12228392.000000]
9 <-> 5 [21591502.000000]
9 <-> 6 [6631777.000000]
9 <-> 7 [18874368.000000]
9 <-> 8 [18990520.000000]
9 <-> 0 [4689374.500000]
9 <-> 1 [1084391808.000000]
9 <-> 2 [21591502.000000]
9 <-> 3 [10693419.000000]
9 <-> 4 [12228392.000000]
9 <-> 5 [21591502.000000]
9 <-> 6 [6631777.000000]
9 <-> 7 [18874368.000000]
9 <-> 8 [18990520.000000]
9 <-> 9 [0.000000]
9 <-> 9 [0.000000]
9 <-> 10 [10485760.000000]
9 <-> 10 [10485760.000000]
10 <-> 0 [13263554.000000]
10 <-> 1 [1073907712.000000]
10 <-> 2 [18874368.000000]
10 <-> 3 [2097152.000000]
10 <-> 4 [6291456.000000]
10 <-> 5 [18874368.000000]
10 <-> 6 [10485760.000000]
10 <-> 7 [8388608.000000]
10 <-> 8 [8646779.000000]
10 <-> 9 [10485760.000000]
10 <-> 0 [13263554.000000]
10 <-> 1 [1073907712.000000]
10 <-> 2 [18874368.000000]
10 <-> 3 [2097152.000000]
10 <-> 4 [6291456.000000]
10 <-> 5 [18874368.000000]
10 <-> 6 [10485760.000000]
10 <-> 7 [8388608.000000]
10 <-> 8 [8646779.000000]
10 <-> 9 [10485760.000000]
10 <-> 10 [0.000000]
10 <-> 10 [0.000000]
Forest Generated:
1413634 runs generated in 5.000000 seconds: 0.000004 seconds/run.
