Original Adjacency List:
0 <-> 0 [0.000000]
0 <-> 0 [0.000000]
0 <-> 1 [1099555840.000000]
0 <-> 2 [1103388928.000000]
0 <-> 3 [2176989184.000000]
0 <-> 4 [44586064.000000]
0 <-> 5 [44586064.000000]
0 <-> 6 [24456784.000000]
0 <-> 7 [31457280.000000]
0 <-> 8 [40502732.000000]
0 <-> 9 [2185296896.000000]
0 <-> 10 [41943040.000000]
0 <-> 11 [22293032.000000]
0 <-> 12 [29134566.000000]
0 <-> 13 [25599002.000000]
0 <-> 14 [22587018.000000]
0 <-> 15 [2166459648.000000]
0 <-> 16 [25599002.000000]
0 <-> 17 [39568984.000000]
0 <-> 18 [26527108.000000]
0 <-> 19 [20359664.000000]
0 <-> 20 [25599002.000000]
0 <-> 21 [38269432.000000]
0 <-> 22 [13138620.000000]
0 <-> 23 [35481556.000000]
0 <-> 24 [29528168.000000]
0 <-> 25 [9667393.000000]
0 <-> 26 [22218928.000000]
0 <-> 27 [38669572.000000]
0 <-> 28 [11863283.000000]
0 <-> 29 [11863283.000000]
0 <-> 30 [21206138.000000]
0 <-> 31 [16907780.000000]
0 <-> 32 [20760746.000000]
0 <-> 33 [21616948.000000]
0 <-> 34 [14567283.000000]
0 <-> 35 [25940338.000000]
0 <-> 36 [37763296.000000]
0 <-> 1 [1099555840.000000]
0 <-> 2 [1103388928.000000]
0 <-> 3 [2176989184.000000]
0 <-> 4 [44586064.000000]
0 <-> 5 [44586064.000000]
0 <-> 6 [24456784.000000]
0 <-> 7 [31457280.000000]
0 <-> 8 [40502732.000000]
0 <-> 9 [2185296896.000000]
0 <-> 10 [41943040.000000]
0 <-> 11 [22293032.000000]
0 <-> 12 [29134566.000000]
0 <-> 13 [25599002.000000]
0 <-> 14 [22587018.000000]
0 <-> 15 [2166459648.000000]
0 <-> 16 [25599002.000000]
0 <-> 17 [39568984.000000]
0 <-> 18 [26527108.000000]
0 <-> 19 [20359664.000000]
0 <-> 20 [25599002.000000]
0 <-> 21 [38269432.000000]
0 <-> 22 [13138620.000000]
0 <-> 23 [35481556.000000]
0 <-> 24 [29528168.000000]
0 <-> 25 [9667393.000000]
0 <-> 26 [22218928.000000]
0 <-> 27 [38669572.000000]
0 <-> 28 [11863283.000000]
0 <-> 29 [11863283.000000]
0 <-> 30 [21206138.000000]
0 <-> 31 [16907780.000000]
0 <-> 32 [20760746.000000]
0 <-> 33 [21616948.000000]
0 <-> 34 [14567283.000000]
0 <-> 35 [25940338.000000]
0 <-> 36 [37763296.000000]
1 <-> 0 [1099555840.000000]
1 <-> 0 [1099555840.000000]
1 <-> 1 [0.000000]
1 <-> 1 [0.000000]
1 <-> 2 [1512580224.000000]
1 <-> 3 [2393459712.000000]
1 <-> 4 [1065386240.000000]
1 <-> 5 [1065386240.000000]
1 <-> 6 [1086454272.000000]
1 <-> 7 [1073907712.000000]
1 <-> 8 [1084227584.000000]
1 <-> 9 [2404722944.000000]
1 <-> 10 [1065427520.000000]
1 <-> 11 [1084430336.000000]
1 <-> 12 [1084300544.000000]
1 <-> 13 [1084357376.000000]
1 <-> 14 [1090648064.000000]
1 <-> 15 [2385984768.000000]
1 <-> 16 [1078182912.000000]
1 <-> 17 [1065485312.000000]
1 <-> 18 [1090591616.000000]
1 <-> 19 [1082447872.000000]
1 <-> 20 [1084357376.000000]
1 <-> 21 [1092616192.000000]
1 <-> 22 [1092930560.000000]
1 <-> 23 [1065675712.000000]
1 <-> 24 [1095794048.000000]
1 <-> 25 [1093039232.000000]
1 <-> 26 [1078364928.000000]
1 <-> 27 [1090519040.000000]
1 <-> 28 [1090914176.000000]
1 <-> 29 [1090914176.000000]
1 <-> 30 [1095890304.000000]
1 <-> 31 [1090763008.000000]
1 <-> 32 [1084472960.000000]
1 <-> 33 [1093793408.000000]
1 <-> 34 [1086750208.000000]
1 <-> 35 [1074202496.000000]
1 <-> 36 [1097859072.000000]
1 <-> 2 [1512580224.000000]
1 <-> 3 [2393459712.000000]
1 <-> 4 [1065386240.000000]
1 <-> 5 [1065386240.000000]
1 <-> 6 [1086454272.000000]
1 <-> 7 [1073907712.000000]
1 <-> 8 [1084227584.000000]
1 <-> 9 [2404722944.000000]
1 <-> 10 [1065427520.000000]
1 <-> 11 [1084430336.000000]
1 <-> 12 [1084300544.000000]
1 <-> 13 [1084357376.000000]
1 <-> 14 [1090648064.000000]
1 <-> 15 [2385984768.000000]
1 <-> 16 [1078182912.000000]
1 <-> 17 [1065485312.000000]
1 <-> 18 [1090591616.000000]
1 <-> 19 [1082447872.000000]
1 <-> 20 [1084357376.000000]
1 <-> 21 [1092616192.000000]
1 <-> 22 [1092930560.000000]
1 <-> 23 [1065675712.000000]
1 <-> 24 [1095794048.000000]
1 <-> 25 [1093039232.000000]
1 <-> 26 [1078364928.000000]
1 <-> 27 [1090519040.000000]
1 <-> 28 [1090914176.000000]
1 <-> 29 [1090914176.000000]
1 <-> 30 [1095890304.000000]
1 <-> 31 [1090763008.000000]
1 <-> 32 [1084472960.000000]
1 <-> 33 [1093793408.000000]
1 <-> 34 [1086750208.000000]
1 <-> 35 [1074202496.000000]
1 <-> 36 [1097859072.000000]
2 <-> 0 [1103388928.000000]
2 <-> 1 [1512580224.000000]
2 <-> 0 [1103388928.000000]
2 <-> 1 [1512580224.000000]
2 <-> 2 [0.000000]
2 <-> 2 [0.000000]
2 <-> 3 [1073741824.000000]
2 <-> 4 [1073774592.000000]
2 <-> 5 [1073774592.000000]
2 <-> 6 [1082203648.000000]
2 <-> 7 [1084227584.000000]
2 <-> 8 [1065404800.000000]
2 <-> 9 [1082162944.000000]
2 <-> 10 [1077968768.000000]
2 <-> 11 [1086375296.000000]
2 <-> 12 [1077987072.000000]
2 <-> 13 [1082181248.000000]
2 <-> 14 [1082260480.000000]
2 <-> 15 [1063264320.000000]
2 <-> 16 [1088429952.000000]
2 <-> 17 [1082162944.000000]
2 <-> 18 [1078066688.000000]
2 <-> 19 [1091599872.000000]
2 <-> 20 [1082181248.000000]
2 <-> 21 [1065520384.000000]
2 <-> 22 [1091730816.000000]
2 <-> 23 [1091599872.000000]
2 <-> 24 [1073967616.000000]
2 <-> 25 [1095924480.000000]
2 <-> 26 [1095769984.000000]
2 <-> 27 [1065485312.000000]
2 <-> 28 [1094841856.000000]
2 <-> 29 [1094841856.000000]
2 <-> 30 [1082354432.000000]
2 <-> 31 [1088551168.000000]
2 <-> 32 [1088472448.000000]
2 <-> 33 [1082313856.000000]
2 <-> 34 [1095834112.000000]
2 <-> 35 [1096810496.000000]
2 <-> 36 [1065626176.000000]
2 <-> 3 [1073741824.000000]
2 <-> 4 [1073774592.000000]
2 <-> 5 [1073774592.000000]
2 <-> 6 [1082203648.000000]
2 <-> 7 [1084227584.000000]
2 <-> 8 [1065404800.000000]
2 <-> 9 [1082162944.000000]
2 <-> 10 [1077968768.000000]
2 <-> 11 [1086375296.000000]
2 <-> 12 [1077987072.000000]
2 <-> 13 [1082181248.000000]
2 <-> 14 [1082260480.000000]
2 <-> 15 [1063264320.000000]
2 <-> 16 [1088429952.000000]
2 <-> 17 [1082162944.000000]
2 <-> 18 [1078066688.000000]
2 <-> 19 [1091599872.000000]
2 <-> 20 [1082181248.000000]
2 <-> 21 [1065520384.000000]
2 <-> 22 [1091730816.000000]
2 <-> 23 [1091599872.000000]
2 <-> 24 [1073967616.000000]
2 <-> 25 [1095924480.000000]
2 <-> 26 [1095769984.000000]
2 <-> 27 [1065485312.000000]
2 <-> 28 [1094841856.000000]
2 <-> 29 [1094841856.000000]
2 <-> 30 [1082354432.000000]
2 <-> 31 [1088551168.000000]
2 <-> 32 [1088472448.000000]
2 <-> 33 [1082313856.000000]
2 <-> 34 [1095834112.000000]
2 <-> 35 [1096810496.000000]
2 <-> 36 [1065626176.000000]
3 <-> 0 [2176989184.000000]
3 <-> 1 [2393459712.000000]
3 <-> 2 [1073741824.000000]
3 <-> 0 [2176989184.000000]
3 <-> 1 [2393459712.000000]
3 <-> 2 [1073741824.000000]
3 <-> 3 [0.000000]
3 <-> 3 [0.000000]
3 <-> 4 [2147500032.000000]
3 <-> 5 [2147500032.000000]
3 <-> 6 [2155908864.000000]
3 <-> 7 [2157969408.000000]
3 <-> 8 [2139120768.000000]
3 <-> 9 [11863283.000000]
3 <-> 10 [2151694336.000000]
3 <-> 11 [2160091904.000000]
3 <-> 12 [2151703552.000000]
3 <-> 13 [2155897856.000000]
3 <-> 14 [2155937536.000000]
3 <-> 15 [11293509.000000]
3 <-> 16 [2162167808.000000]
3 <-> 17 [2155888640.000000]
3 <-> 18 [2151743232.000000]
3 <-> 19 [2165325568.000000]
3 <-> 20 [2155897856.000000]
3 <-> 21 [2139178368.000000]
3 <-> 22 [2165391616.000000]
3 <-> 23 [2165325568.000000]
3 <-> 24 [2147596544.000000]
3 <-> 25 [2169585920.000000]
3 <-> 26 [2169507840.000000]
3 <-> 27 [2139160832.000000]
3 <-> 28 [2168520192.000000]
3 <-> 29 [2168520192.000000]
3 <-> 30 [2155984640.000000]
3 <-> 31 [2162228736.000000]
3 <-> 32 [2162189056.000000]
3 <-> 33 [2155964416.000000]
3 <-> 34 [2169540352.000000]
3 <-> 35 [2170552320.000000]
3 <-> 36 [2139230976.000000]
3 <-> 4 [2147500032.000000]
3 <-> 5 [2147500032.000000]
3 <-> 6 [2155908864.000000]
3 <-> 7 [2157969408.000000]
3 <-> 8 [2139120768.000000]
3 <-> 9 [11863283.000000]
3 <-> 10 [2151694336.000000]
3 <-> 11 [2160091904.000000]
3 <-> 12 [2151703552.000000]
3 <-> 13 [2155897856.000000]
3 <-> 14 [2155937536.000000]
3 <-> 15 [11293509.000000]
3 <-> 16 [2162167808.000000]
3 <-> 17 [2155888640.000000]
3 <-> 18 [2151743232.000000]
3 <-> 19 [2165325568.000000]
3 <-> 20 [2155897856.000000]
3 <-> 21 [2139178368.000000]
3 <-> 22 [2165391616.000000]
3 <-> 23 [2165325568.000000]
3 <-> 24 [2147596544.000000]
3 <-> 25 [2169585920.000000]
3 <-> 26 [2169507840.000000]
3 <-> 27 [2139160832.000000]
3 <-> 28 [2168520192.000000]
3 <-> 29 [2168520192.000000]
3 <-> 30 [2155984640.000000]
3 <-> 31 [2162228736.000000]
3 <-> 32 [2162189056.000000]
3 <-> 33 [2155964416.000000]
3 <-> 34 [2169540352.000000]
3 <-> 35 [2170552320.000000]
3 <-> 36 [2139230976.000000]
4 <-> 0 [44586064.000000]
4 <-> 1 [1065386240.000000]
4 <-> 2 [1073774592.000000]
4 <-> 3 [2147500032.000000]
4 <-> 0 [44586064.000000]
4 <-> 1 [1065386240.000000]
4 <-> 2 [1073774592.000000]
4 <-> 3 [2147500032.000000]
4 <-> 4 [0.000000]
4 <-> 4 [0.000000]
4 <-> 5 [0.000000]
4 <-> 6 [22587018.000000]
4 <-> 7 [13428325.000000]
4 <-> 8 [20654552.000000]
4 <-> 9 [2155937536.000000]
4 <-> 10 [4194304.000000]
4 <-> 11 [22684168.000000]
4 <-> 12 [19334786.000000]
4 <-> 13 [20654552.000000]
4 <-> 14 [26527108.000000]
4 <-> 15 [2137034880.000000]
4 <-> 16 [19334786.000000]
4 <-> 17 [8388608.000000]
4 <-> 18 [25512956.000000]
4 <-> 19 [24479254.000000]
4 <-> 20 [20654552.000000]
4 <-> 21 [28524352.000000]
4 <-> 22 [32573436.000000]
4 <-> 23 [17825792.000000]
