Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [118074416.000000]
0 <-> 0.000000 [77543416.000000]
0 <-> 0.000000 [42770868.000000]
0 <-> 0.000000 [114845984.000000]
0 <-> 0.000000 [79397920.000000]
0 <-> 0.000000 [19665394.000000]
0 <-> 0.000000 [112145504.000000]
0 <-> 0.000000 [84264904.000000]
0 <-> 0.000000 [23429486.000000]
0 <-> 0.000000 [98064944.000000]
0 <-> 0.000000 [87791656.000000]
0 <-> 0.000000 [26662206.000000]
0 <-> 0.000000 [109543408.000000]
0 <-> 0.000000 [78752416.000000]
0 <-> 0.000000 [28599318.000000]
0 <-> 0.000000 [94238904.000000]
0 <-> 0.000000 [85494648.000000]
0 <-> 0.000000 [30469064.000000]
0 <-> 0.000000 [101665928.000000]
0 <-> 0.000000 [75697952.000000]
0 <-> 0.000000 [32971452.000000]
0 <-> 0.000000 [96635384.000000]
0 <-> 0.000000 [85984208.000000]
0 <-> 0.000000 [39269960.000000]
0 <-> 0.000000 [91793744.000000]
0 <-> 0.000000 [73887200.000000]
0 <-> 0.000000 [35138852.000000]
0 <-> 0.000000 [96240016.000000]
0 <-> 0.000000 [76800592.000000]
0 <-> 0.000000 [36420100.000000]
0 <-> 0.000000 [102100448.000000]
0 <-> 0.000000 [75417840.000000]
0 <-> 0.000000 [37651164.000000]
0 <-> 0.000000 [97784656.000000]
0 <-> 0.000000 [85867272.000000]
0 <-> 0.000000 [38287836.000000]
0 <-> 0.000000 [92387776.000000]
0 <-> 0.000000 [75171192.000000]
0 <-> 0.000000 [39403520.000000]
0 <-> 0.000000 [98097784.000000]
0 <-> 0.000000 [86044928.000000]
0 <-> 0.000000 [42862052.000000]
0 <-> 0.000000 [118074416.000000]
0 <-> 0.000000 [77543416.000000]
0 <-> 0.000000 [42770868.000000]
0 <-> 0.000000 [114845984.000000]
0 <-> 0.000000 [79397920.000000]
0 <-> 0.000000 [19665394.000000]
0 <-> 0.000000 [112145504.000000]
0 <-> 0.000000 [84264904.000000]
0 <-> 0.000000 [23429486.000000]
0 <-> 0.000000 [98064944.000000]
0 <-> 0.000000 [87791656.000000]
0 <-> 0.000000 [26662206.000000]
0 <-> 0.000000 [109543408.000000]
0 <-> 0.000000 [78752416.000000]
0 <-> 0.000000 [28599318.000000]
0 <-> 0.000000 [94238904.000000]
0 <-> 0.000000 [85494648.000000]
0 <-> 0.000000 [30469064.000000]
0 <-> 0.000000 [101665928.000000]
0 <-> 0.000000 [75697952.000000]
0 <-> 0.000000 [32971452.000000]
0 <-> 0.000000 [96635384.000000]
0 <-> 0.000000 [85984208.000000]
0 <-> 0.000000 [39269960.000000]
0 <-> 0.000000 [91793744.000000]
0 <-> 0.000000 [73887200.000000]
0 <-> 0.000000 [35138852.000000]
0 <-> 0.000000 [96240016.000000]
0 <-> 0.000000 [76800592.000000]
0 <-> 0.000000 [36420100.000000]
0 <-> 0.000000 [102100448.000000]
0 <-> 0.000000 [75417840.000000]
0 <-> 0.000000 [37651164.000000]
0 <-> 0.000000 [97784656.000000]
0 <-> 0.000000 [85867272.000000]
0 <-> 0.000000 [38287836.000000]
0 <-> 0.000000 [92387776.000000]
0 <-> 0.000000 [75171192.000000]
0 <-> 0.000000 [39403520.000000]
0 <-> 0.000000 [98097784.000000]
0 <-> 0.000000 [86044928.000000]
0 <-> 0.000000 [42862052.000000]
1 <-> 0.000000 [118074416.000000]
1 <-> 0.000000 [118074416.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [81667496.000000]
1 <-> 0.000000 [85154848.000000]
1 <-> 0.000000 [8762212.000000]
1 <-> 0.000000 [76843368.000000]
1 <-> 0.000000 [100444008.000000]
1 <-> 0.000000 [12775833.000000]
1 <-> 0.000000 [84188856.000000]
1 <-> 0.000000 [104732904.000000]
1 <-> 0.000000 [20718732.000000]
1 <-> 0.000000 [80492216.000000]
1 <-> 0.000000 [95882688.000000]
1 <-> 0.000000 [19148354.000000]
1 <-> 0.000000 [78638288.000000]
1 <-> 0.000000 [95125136.000000]
1 <-> 0.000000 [25102106.000000]
1 <-> 0.000000 [85055704.000000]
1 <-> 0.000000 [95436400.000000]
1 <-> 0.000000 [23323842.000000]
1 <-> 0.000000 [71667800.000000]
1 <-> 0.000000 [91312800.000000]
1 <-> 0.000000 [26425314.000000]
1 <-> 0.000000 [77039680.000000]
1 <-> 0.000000 [79803472.000000]
1 <-> 0.000000 [29323260.000000]
1 <-> 0.000000 [74574008.000000]
1 <-> 0.000000 [93388504.000000]
1 <-> 0.000000 [28208376.000000]
1 <-> 0.000000 [79587944.000000]
1 <-> 0.000000 [90099776.000000]
1 <-> 0.000000 [28311670.000000]
1 <-> 0.000000 [68411704.000000]
1 <-> 0.000000 [97622952.000000]
1 <-> 0.000000 [29667548.000000]
1 <-> 0.000000 [79502448.000000]
