Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [102360592.000000]
0 <-> 0.000000 [40722388.000000]
0 <-> 0.000000 [14090173.000000]
0 <-> 0.000000 [99270664.000000]
0 <-> 0.000000 [82615144.000000]
0 <-> 0.000000 [19423880.000000]
0 <-> 0.000000 [95538752.000000]
0 <-> 0.000000 [81541640.000000]
0 <-> 0.000000 [44533416.000000]
0 <-> 0.000000 [83061688.000000]
0 <-> 0.000000 [76045176.000000]
0 <-> 0.000000 [26215552.000000]
0 <-> 0.000000 [98270176.000000]
0 <-> 0.000000 [78209640.000000]
0 <-> 0.000000 [30859968.000000]
0 <-> 0.000000 [90441784.000000]
0 <-> 0.000000 [85492064.000000]
0 <-> 0.000000 [32382578.000000]
0 <-> 0.000000 [77725568.000000]
0 <-> 0.000000 [105141640.000000]
0 <-> 0.000000 [32827976.000000]
0 <-> 0.000000 [89195712.000000]
0 <-> 0.000000 [79180008.000000]
0 <-> 0.000000 [37876752.000000]
0 <-> 0.000000 [88480456.000000]
0 <-> 0.000000 [72328072.000000]
0 <-> 0.000000 [35139708.000000]
0 <-> 0.000000 [91054456.000000]
0 <-> 0.000000 [76495464.000000]
0 <-> 0.000000 [37010412.000000]
0 <-> 0.000000 [83922928.000000]
0 <-> 0.000000 [75629256.000000]
0 <-> 0.000000 [37273772.000000]
0 <-> 0.000000 [81983616.000000]
0 <-> 0.000000 [80795480.000000]
0 <-> 0.000000 [38858056.000000]
0 <-> 0.000000 [85327176.000000]
0 <-> 0.000000 [86031320.000000]
0 <-> 0.000000 [40559748.000000]
0 <-> 0.000000 [78105872.000000]
0 <-> 0.000000 [85857504.000000]
0 <-> 0.000000 [40400172.000000]
0 <-> 0.000000 [71541048.000000]
0 <-> 0.000000 [72797592.000000]
0 <-> 0.000000 [41600368.000000]
0 <-> 0.000000 [83616208.000000]
0 <-> 0.000000 [76547200.000000]
0 <-> 0.000000 [43063000.000000]
0 <-> 0.000000 [91510328.000000]
0 <-> 0.000000 [78578048.000000]
0 <-> 0.000000 [42774680.000000]
0 <-> 0.000000 [83790744.000000]
0 <-> 0.000000 [78335368.000000]
0 <-> 0.000000 [43383968.000000]
0 <-> 0.000000 [83809344.000000]
0 <-> 0.000000 [80144864.000000]
0 <-> 0.000000 [43851644.000000]
0 <-> 0.000000 [83983128.000000]
0 <-> 0.000000 [79572888.000000]
0 <-> 0.000000 [44351172.000000]
0 <-> 0.000000 [88732056.000000]
0 <-> 0.000000 [55155096.000000]
0 <-> 0.000000 [45113444.000000]
0 <-> 0.000000 [87932696.000000]
0 <-> 0.000000 [78587792.000000]
0 <-> 0.000000 [45351208.000000]
0 <-> 0.000000 [86138480.000000]
0 <-> 0.000000 [80726616.000000]
0 <-> 0.000000 [46695908.000000]
0 <-> 0.000000 [58823864.000000]
0 <-> 0.000000 [80710952.000000]
0 <-> 0.000000 [46404116.000000]
0 <-> 0.000000 [82856416.000000]
0 <-> 0.000000 [77079584.000000]
0 <-> 0.000000 [48000324.000000]
0 <-> 0.000000 [84204832.000000]
0 <-> 0.000000 [90304480.000000]
0 <-> 0.000000 [102360592.000000]
0 <-> 0.000000 [40722388.000000]
0 <-> 0.000000 [14090173.000000]
0 <-> 0.000000 [99270664.000000]
0 <-> 0.000000 [82615144.000000]
0 <-> 0.000000 [19423880.000000]
0 <-> 0.000000 [95538752.000000]
0 <-> 0.000000 [81541640.000000]
0 <-> 0.000000 [44533416.000000]
0 <-> 0.000000 [83061688.000000]
0 <-> 0.000000 [76045176.000000]
0 <-> 0.000000 [26215552.000000]
0 <-> 0.000000 [98270176.000000]
0 <-> 0.000000 [78209640.000000]
0 <-> 0.000000 [30859968.000000]
0 <-> 0.000000 [90441784.000000]
0 <-> 0.000000 [85492064.000000]
0 <-> 0.000000 [32382578.000000]
0 <-> 0.000000 [77725568.000000]
0 <-> 0.000000 [105141640.000000]
0 <-> 0.000000 [32827976.000000]
0 <-> 0.000000 [89195712.000000]
0 <-> 0.000000 [79180008.000000]
0 <-> 0.000000 [37876752.000000]
0 <-> 0.000000 [88480456.000000]
0 <-> 0.000000 [72328072.000000]
0 <-> 0.000000 [35139708.000000]
0 <-> 0.000000 [91054456.000000]
0 <-> 0.000000 [76495464.000000]
0 <-> 0.000000 [37010412.000000]
0 <-> 0.000000 [83922928.000000]
0 <-> 0.000000 [75629256.000000]
0 <-> 0.000000 [37273772.000000]
0 <-> 0.000000 [81983616.000000]
0 <-> 0.000000 [80795480.000000]
0 <-> 0.000000 [38858056.000000]
0 <-> 0.000000 [85327176.000000]
0 <-> 0.000000 [86031320.000000]
0 <-> 0.000000 [40559748.000000]
0 <-> 0.000000 [78105872.000000]
0 <-> 0.000000 [85857504.000000]
0 <-> 0.000000 [40400172.000000]
0 <-> 0.000000 [71541048.000000]
0 <-> 0.000000 [72797592.000000]
0 <-> 0.000000 [41600368.000000]
