Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [154079680.000000]
0 <-> 0.000000 [110392280.000000]
0 <-> 0.000000 [12663391.000000]
0 <-> 0.000000 [149191360.000000]
0 <-> 0.000000 [112008320.000000]
0 <-> 0.000000 [18877732.000000]
0 <-> 0.000000 [147337664.000000]
0 <-> 0.000000 [111783192.000000]
0 <-> 0.000000 [23071424.000000]
0 <-> 0.000000 [143672496.000000]
0 <-> 0.000000 [112601920.000000]
0 <-> 0.000000 [26253124.000000]
0 <-> 0.000000 [142144496.000000]
0 <-> 0.000000 [111719368.000000]
0 <-> 0.000000 [28341688.000000]
0 <-> 0.000000 [141019824.000000]
0 <-> 0.000000 [110809864.000000]
0 <-> 0.000000 [30409632.000000]
0 <-> 0.000000 [140505392.000000]
0 <-> 0.000000 [110461080.000000]
0 <-> 0.000000 [32513668.000000]
0 <-> 0.000000 [138246704.000000]
0 <-> 0.000000 [110605064.000000]
0 <-> 0.000000 [34095484.000000]
0 <-> 0.000000 [137169488.000000]
0 <-> 0.000000 [112340304.000000]
0 <-> 0.000000 [35156204.000000]
0 <-> 0.000000 [136788592.000000]
0 <-> 0.000000 [111648312.000000]
0 <-> 0.000000 [36195368.000000]
0 <-> 0.000000 [136016320.000000]
0 <-> 0.000000 [112004480.000000]
0 <-> 0.000000 [37247372.000000]
0 <-> 0.000000 [135848688.000000]
0 <-> 0.000000 [112016384.000000]
0 <-> 0.000000 [38299560.000000]
0 <-> 0.000000 [133182328.000000]
0 <-> 0.000000 [109832856.000000]
0 <-> 0.000000 [39323216.000000]
0 <-> 0.000000 [133724648.000000]
0 <-> 0.000000 [108198264.000000]
0 <-> 0.000000 [40399700.000000]
0 <-> 0.000000 [131658000.000000]
0 <-> 0.000000 [110090560.000000]
0 <-> 0.000000 [41418924.000000]
0 <-> 0.000000 [132726000.000000]
0 <-> 0.000000 [109216776.000000]
0 <-> 0.000000 [42237932.000000]
0 <-> 0.000000 [131134224.000000]
0 <-> 0.000000 [109378136.000000]
0 <-> 0.000000 [42745980.000000]
0 <-> 0.000000 [133513536.000000]
0 <-> 0.000000 [109879608.000000]
0 <-> 0.000000 [43261752.000000]
0 <-> 0.000000 [133043136.000000]
0 <-> 0.000000 [109362976.000000]
0 <-> 0.000000 [43805272.000000]
0 <-> 0.000000 [131753280.000000]
0 <-> 0.000000 [109163160.000000]
0 <-> 0.000000 [44308068.000000]
0 <-> 0.000000 [132104848.000000]
0 <-> 0.000000 [108707448.000000]
0 <-> 0.000000 [44845664.000000]
0 <-> 0.000000 [131636976.000000]
0 <-> 0.000000 [108306704.000000]
0 <-> 0.000000 [45452912.000000]
0 <-> 0.000000 [133133536.000000]
0 <-> 0.000000 [107723968.000000]
0 <-> 0.000000 [45901180.000000]
0 <-> 0.000000 [134345840.000000]
0 <-> 0.000000 [107937624.000000]
0 <-> 0.000000 [46457984.000000]
0 <-> 0.000000 [134146600.000000]
0 <-> 0.000000 [110775992.000000]
0 <-> 0.000000 [46929188.000000]
0 <-> 0.000000 [132266808.000000]
0 <-> 0.000000 [110833864.000000]
0 <-> 0.000000 [47505268.000000]
0 <-> 0.000000 [133544016.000000]
0 <-> 0.000000 [109245848.000000]
0 <-> 0.000000 [47973676.000000]
0 <-> 0.000000 [133507144.000000]
0 <-> 0.000000 [110227160.000000]
0 <-> 0.000000 [48511184.000000]
0 <-> 0.000000 [131832416.000000]
0 <-> 0.000000 [112836248.000000]
0 <-> 0.000000 [49125728.000000]
0 <-> 0.000000 [131271688.000000]
0 <-> 0.000000 [113493592.000000]
0 <-> 0.000000 [49607972.000000]
0 <-> 0.000000 [131342528.000000]
0 <-> 0.000000 [113623424.000000]
0 <-> 0.000000 [50379792.000000]
0 <-> 0.000000 [121854904.000000]
0 <-> 0.000000 [112842936.000000]
0 <-> 0.000000 [50494168.000000]
0 <-> 0.000000 [133477864.000000]
0 <-> 0.000000 [111471752.000000]
0 <-> 0.000000 [50792132.000000]
0 <-> 0.000000 [129067200.000000]
0 <-> 0.000000 [113873104.000000]
0 <-> 0.000000 [51137468.000000]
0 <-> 0.000000 [126739400.000000]
0 <-> 0.000000 [114695552.000000]
0 <-> 0.000000 [51398844.000000]
0 <-> 0.000000 [128087376.000000]
0 <-> 0.000000 [112475672.000000]
0 <-> 0.000000 [51571660.000000]
0 <-> 0.000000 [128176808.000000]
0 <-> 0.000000 [113049848.000000]
0 <-> 0.000000 [51851868.000000]
0 <-> 0.000000 [126055984.000000]
0 <-> 0.000000 [112788272.000000]
0 <-> 0.000000 [52058492.000000]
0 <-> 0.000000 [127513656.000000]
0 <-> 0.000000 [112072856.000000]
0 <-> 0.000000 [52302584.000000]
0 <-> 0.000000 [127076712.000000]
0 <-> 0.000000 [111251304.000000]
0 <-> 0.000000 [52586172.000000]
0 <-> 0.000000 [124743576.000000]
0 <-> 0.000000 [112464096.000000]
