Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [75072336.000000]
0 <-> 0.000000 [61730600.000000]
0 <-> 0.000000 [12814425.000000]
0 <-> 0.000000 [68199016.000000]
0 <-> 0.000000 [60400872.000000]
0 <-> 0.000000 [18963360.000000]
0 <-> 0.000000 [62782940.000000]
0 <-> 0.000000 [60116912.000000]
0 <-> 0.000000 [23282166.000000]
0 <-> 0.000000 [61212868.000000]
0 <-> 0.000000 [58511868.000000]
0 <-> 0.000000 [26547824.000000]
0 <-> 0.000000 [61945492.000000]
0 <-> 0.000000 [55596316.000000]
0 <-> 0.000000 [30012912.000000]
0 <-> 0.000000 [61369976.000000]
0 <-> 0.000000 [51939584.000000]
0 <-> 0.000000 [35448856.000000]
0 <-> 0.000000 [62012020.000000]
0 <-> 0.000000 [21715668.000000]
0 <-> 0.000000 [58709868.000000]
0 <-> 0.000000 [61374456.000000]
0 <-> 0.000000 [37226524.000000]
0 <-> 0.000000 [39148424.000000]
0 <-> 0.000000 [57402056.000000]
0 <-> 0.000000 [19995676.000000]
0 <-> 0.000000 [60200872.000000]
0 <-> 0.000000 [51504624.000000]
0 <-> 0.000000 [43788448.000000]
0 <-> 0.000000 [38894828.000000]
0 <-> 0.000000 [50758044.000000]
0 <-> 0.000000 [50069676.000000]
0 <-> 0.000000 [39335796.000000]
0 <-> 0.000000 [55879884.000000]
0 <-> 0.000000 [54599000.000000]
0 <-> 0.000000 [38830068.000000]
0 <-> 0.000000 [55562472.000000]
0 <-> 0.000000 [56045196.000000]
0 <-> 0.000000 [40100320.000000]
0 <-> 0.000000 [52621940.000000]
0 <-> 0.000000 [55790808.000000]
0 <-> 0.000000 [41232508.000000]
0 <-> 0.000000 [43454468.000000]
0 <-> 0.000000 [58650144.000000]
0 <-> 0.000000 [41701704.000000]
0 <-> 0.000000 [47458384.000000]
0 <-> 0.000000 [61392228.000000]
0 <-> 0.000000 [42468136.000000]
0 <-> 0.000000 [35859392.000000]
0 <-> 0.000000 [61850708.000000]
0 <-> 0.000000 [42790992.000000]
0 <-> 0.000000 [45834176.000000]
0 <-> 0.000000 [65710256.000000]
0 <-> 0.000000 [43278888.000000]
0 <-> 0.000000 [46591072.000000]
0 <-> 0.000000 [62569628.000000]
0 <-> 0.000000 [43786336.000000]
0 <-> 0.000000 [50795264.000000]
0 <-> 0.000000 [61847376.000000]
0 <-> 0.000000 [44302528.000000]
0 <-> 0.000000 [55337380.000000]
0 <-> 0.000000 [62267476.000000]
0 <-> 0.000000 [75072336.000000]
0 <-> 0.000000 [61730600.000000]
0 <-> 0.000000 [12814425.000000]
0 <-> 0.000000 [68199016.000000]
0 <-> 0.000000 [60400872.000000]
0 <-> 0.000000 [18963360.000000]
0 <-> 0.000000 [62782940.000000]
0 <-> 0.000000 [60116912.000000]
0 <-> 0.000000 [23282166.000000]
0 <-> 0.000000 [61212868.000000]
0 <-> 0.000000 [58511868.000000]
0 <-> 0.000000 [26547824.000000]
0 <-> 0.000000 [61945492.000000]
0 <-> 0.000000 [55596316.000000]
0 <-> 0.000000 [30012912.000000]
0 <-> 0.000000 [61369976.000000]
0 <-> 0.000000 [51939584.000000]
0 <-> 0.000000 [35448856.000000]
0 <-> 0.000000 [62012020.000000]
0 <-> 0.000000 [21715668.000000]
0 <-> 0.000000 [58709868.000000]
0 <-> 0.000000 [61374456.000000]
0 <-> 0.000000 [37226524.000000]
0 <-> 0.000000 [39148424.000000]
0 <-> 0.000000 [57402056.000000]
0 <-> 0.000000 [19995676.000000]
0 <-> 0.000000 [60200872.000000]
0 <-> 0.000000 [51504624.000000]
0 <-> 0.000000 [43788448.000000]
0 <-> 0.000000 [38894828.000000]
0 <-> 0.000000 [50758044.000000]
0 <-> 0.000000 [50069676.000000]
0 <-> 0.000000 [39335796.000000]
0 <-> 0.000000 [55879884.000000]
0 <-> 0.000000 [54599000.000000]
0 <-> 0.000000 [38830068.000000]
0 <-> 0.000000 [55562472.000000]
0 <-> 0.000000 [56045196.000000]
0 <-> 0.000000 [40100320.000000]
0 <-> 0.000000 [52621940.000000]
0 <-> 0.000000 [55790808.000000]
0 <-> 0.000000 [41232508.000000]
0 <-> 0.000000 [43454468.000000]
0 <-> 0.000000 [58650144.000000]
0 <-> 0.000000 [41701704.000000]
0 <-> 0.000000 [47458384.000000]
0 <-> 0.000000 [61392228.000000]
0 <-> 0.000000 [42468136.000000]
0 <-> 0.000000 [35859392.000000]
0 <-> 0.000000 [61850708.000000]
0 <-> 0.000000 [42790992.000000]
0 <-> 0.000000 [45834176.000000]
0 <-> 0.000000 [65710256.000000]
0 <-> 0.000000 [43278888.000000]
0 <-> 0.000000 [46591072.000000]
0 <-> 0.000000 [62569628.000000]
0 <-> 0.000000 [43786336.000000]
0 <-> 0.000000 [50795264.000000]
0 <-> 0.000000 [61847376.000000]
0 <-> 0.000000 [44302528.000000]
