Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [1086569600.000000]
0 <-> 0.000000 [26277240.000000]
0 <-> 0.000000 [14068123.000000]
0 <-> 0.000000 [16379281.000000]
0 <-> 0.000000 [26277240.000000]
0 <-> 0.000000 [11293509.000000]
0 <-> 0.000000 [21386838.000000]
0 <-> 0.000000 [21894910.000000]
0 <-> 0.000000 [4689374.500000]
0 <-> 0.000000 [13263554.000000]
0 <-> 0.000000 [1086569600.000000]
0 <-> 0.000000 [26277240.000000]
0 <-> 0.000000 [14068123.000000]
0 <-> 0.000000 [16379281.000000]
0 <-> 0.000000 [26277240.000000]
0 <-> 0.000000 [11293509.000000]
0 <-> 0.000000 [21386838.000000]
0 <-> 0.000000 [21894910.000000]
0 <-> 0.000000 [4689374.500000]
0 <-> 0.000000 [13263554.000000]
1 <-> 0.000000 [1086569600.000000]
1 <-> 0.000000 [1086569600.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [1073741824.000000]
1 <-> 0.000000 [1073872896.000000]
1 <-> 0.000000 [1073815552.000000]
1 <-> 0.000000 [1073741824.000000]
1 <-> 0.000000 [1082203648.000000]
1 <-> 0.000000 [1065520384.000000]
1 <-> 0.000000 [1065485312.000000]
1 <-> 0.000000 [1084391808.000000]
1 <-> 0.000000 [1073907712.000000]
1 <-> 0.000000 [1073741824.000000]
1 <-> 0.000000 [1073872896.000000]
1 <-> 0.000000 [1073815552.000000]
1 <-> 0.000000 [1073741824.000000]
1 <-> 0.000000 [1082203648.000000]
1 <-> 0.000000 [1065520384.000000]
1 <-> 0.000000 [1065485312.000000]
1 <-> 0.000000 [1084391808.000000]
1 <-> 0.000000 [1073907712.000000]
2 <-> 0.000000 [26277240.000000]
2 <-> 0.000000 [1073741824.000000]
2 <-> 0.000000 [26277240.000000]
2 <-> 0.000000 [1073741824.000000]
2 <-> 0.000000 [0.000000]
2 <-> 0.000000 [0.000000]
2 <-> 0.000000 [16777216.000000]
2 <-> 0.000000 [12582912.000000]
2 <-> 0.000000 [0.000000]
2 <-> 0.000000 [15122778.000000]
2 <-> 0.000000 [20654552.000000]
2 <-> 0.000000 [18757498.000000]
2 <-> 0.000000 [21591502.000000]
2 <-> 0.000000 [18874368.000000]
2 <-> 0.000000 [16777216.000000]
2 <-> 0.000000 [12582912.000000]
2 <-> 0.000000 [0.000000]
2 <-> 0.000000 [15122778.000000]
2 <-> 0.000000 [20654552.000000]
2 <-> 0.000000 [18757498.000000]
2 <-> 0.000000 [21591502.000000]
2 <-> 0.000000 [18874368.000000]
3 <-> 0.000000 [14068123.000000]
3 <-> 0.000000 [1073872896.000000]
3 <-> 0.000000 [16777216.000000]
3 <-> 0.000000 [14068123.000000]
3 <-> 0.000000 [1073872896.000000]
3 <-> 0.000000 [16777216.000000]
3 <-> 0.000000 [0.000000]
3 <-> 0.000000 [0.000000]
3 <-> 0.000000 [4194304.000000]
3 <-> 0.000000 [16777216.000000]
3 <-> 0.000000 [9378749.000000]
3 <-> 0.000000 [8646779.000000]
3 <-> 0.000000 [8388608.000000]
3 <-> 0.000000 [10693419.000000]
3 <-> 0.000000 [2097152.000000]
3 <-> 0.000000 [4194304.000000]
3 <-> 0.000000 [16777216.000000]
3 <-> 0.000000 [9378749.000000]
3 <-> 0.000000 [8646779.000000]
3 <-> 0.000000 [8388608.000000]
3 <-> 0.000000 [10693419.000000]
3 <-> 0.000000 [2097152.000000]
4 <-> 0.000000 [16379281.000000]
4 <-> 0.000000 [1073815552.000000]
4 <-> 0.000000 [12582912.000000]
4 <-> 0.000000 [4194304.000000]
4 <-> 0.000000 [16379281.000000]
4 <-> 0.000000 [1073815552.000000]
4 <-> 0.000000 [12582912.000000]
4 <-> 0.000000 [4194304.000000]
4 <-> 0.000000 [0.000000]
4 <-> 0.000000 [0.000000]
4 <-> 0.000000 [12582912.000000]
4 <-> 0.000000 [8388608.000000]
4 <-> 0.000000 [10485760.000000]
4 <-> 0.000000 [9378749.000000]
4 <-> 0.000000 [12228392.000000]
4 <-> 0.000000 [6291456.000000]
4 <-> 0.000000 [12582912.000000]
4 <-> 0.000000 [8388608.000000]
4 <-> 0.000000 [10485760.000000]
4 <-> 0.000000 [9378749.000000]
4 <-> 0.000000 [12228392.000000]
4 <-> 0.000000 [6291456.000000]
5 <-> 0.000000 [26277240.000000]
5 <-> 0.000000 [1073741824.000000]
5 <-> 0.000000 [0.000000]
5 <-> 0.000000 [16777216.000000]
5 <-> 0.000000 [12582912.000000]
5 <-> 0.000000 [26277240.000000]
5 <-> 0.000000 [1073741824.000000]
5 <-> 0.000000 [0.000000]
5 <-> 0.000000 [16777216.000000]
5 <-> 0.000000 [12582912.000000]
5 <-> 0.000000 [0.000000]
5 <-> 0.000000 [0.000000]
5 <-> 0.000000 [15122778.000000]
5 <-> 0.000000 [20654552.000000]
