Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [1099555840.000000]
0 <-> 0.000000 [1103388928.000000]
0 <-> 0.000000 [2176989184.000000]
0 <-> 0.000000 [44586064.000000]
0 <-> 0.000000 [44586064.000000]
0 <-> 0.000000 [24456784.000000]
0 <-> 0.000000 [31457280.000000]
0 <-> 0.000000 [40502732.000000]
0 <-> 0.000000 [2185296896.000000]
0 <-> 0.000000 [41943040.000000]
0 <-> 0.000000 [22293032.000000]
0 <-> 0.000000 [29134566.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [22587018.000000]
0 <-> 0.000000 [2166459648.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [39568984.000000]
0 <-> 0.000000 [26527108.000000]
0 <-> 0.000000 [20359664.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [38269432.000000]
0 <-> 0.000000 [13138620.000000]
0 <-> 0.000000 [35481556.000000]
0 <-> 0.000000 [29528168.000000]
0 <-> 0.000000 [9667393.000000]
0 <-> 0.000000 [22218928.000000]
0 <-> 0.000000 [38669572.000000]
0 <-> 0.000000 [11863283.000000]
0 <-> 0.000000 [11863283.000000]
0 <-> 0.000000 [21206138.000000]
0 <-> 0.000000 [16907780.000000]
0 <-> 0.000000 [20760746.000000]
0 <-> 0.000000 [21616948.000000]
0 <-> 0.000000 [14567283.000000]
0 <-> 0.000000 [25940338.000000]
0 <-> 0.000000 [37763296.000000]
0 <-> 0.000000 [1099555840.000000]
0 <-> 0.000000 [1103388928.000000]
0 <-> 0.000000 [2176989184.000000]
0 <-> 0.000000 [44586064.000000]
0 <-> 0.000000 [44586064.000000]
0 <-> 0.000000 [24456784.000000]
0 <-> 0.000000 [31457280.000000]
0 <-> 0.000000 [40502732.000000]
0 <-> 0.000000 [2185296896.000000]
0 <-> 0.000000 [41943040.000000]
0 <-> 0.000000 [22293032.000000]
0 <-> 0.000000 [29134566.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [22587018.000000]
0 <-> 0.000000 [2166459648.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [39568984.000000]
0 <-> 0.000000 [26527108.000000]
0 <-> 0.000000 [20359664.000000]
0 <-> 0.000000 [25599002.000000]
0 <-> 0.000000 [38269432.000000]
0 <-> 0.000000 [13138620.000000]
0 <-> 0.000000 [35481556.000000]
0 <-> 0.000000 [29528168.000000]
0 <-> 0.000000 [9667393.000000]
0 <-> 0.000000 [22218928.000000]
0 <-> 0.000000 [38669572.000000]
0 <-> 0.000000 [11863283.000000]
0 <-> 0.000000 [11863283.000000]
0 <-> 0.000000 [21206138.000000]
0 <-> 0.000000 [16907780.000000]
0 <-> 0.000000 [20760746.000000]
0 <-> 0.000000 [21616948.000000]
0 <-> 0.000000 [14567283.000000]
0 <-> 0.000000 [25940338.000000]
0 <-> 0.000000 [37763296.000000]
1 <-> 0.000000 [1099555840.000000]
1 <-> 0.000000 [1099555840.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [1512580224.000000]
1 <-> 0.000000 [2393459712.000000]
1 <-> 0.000000 [1065386240.000000]
1 <-> 0.000000 [1065386240.000000]
1 <-> 0.000000 [1086454272.000000]
1 <-> 0.000000 [1073907712.000000]
1 <-> 0.000000 [1084227584.000000]
1 <-> 0.000000 [2404722944.000000]
1 <-> 0.000000 [1065427520.000000]
1 <-> 0.000000 [1084430336.000000]
1 <-> 0.000000 [1084300544.000000]
1 <-> 0.000000 [1084357376.000000]
1 <-> 0.000000 [1090648064.000000]
1 <-> 0.000000 [2385984768.000000]
1 <-> 0.000000 [1078182912.000000]
1 <-> 0.000000 [1065485312.000000]
1 <-> 0.000000 [1090591616.000000]
1 <-> 0.000000 [1082447872.000000]
1 <-> 0.000000 [1084357376.000000]
1 <-> 0.000000 [1092616192.000000]
1 <-> 0.000000 [1092930560.000000]
1 <-> 0.000000 [1065675712.000000]
1 <-> 0.000000 [1095794048.000000]
1 <-> 0.000000 [1093039232.000000]
1 <-> 0.000000 [1078364928.000000]
1 <-> 0.000000 [1090519040.000000]
1 <-> 0.000000 [1090914176.000000]
1 <-> 0.000000 [1090914176.000000]
1 <-> 0.000000 [1095890304.000000]
1 <-> 0.000000 [1090763008.000000]
1 <-> 0.000000 [1084472960.000000]
1 <-> 0.000000 [1093793408.000000]
1 <-> 0.000000 [1086750208.000000]
1 <-> 0.000000 [1074202496.000000]
1 <-> 0.000000 [1097859072.000000]
1 <-> 0.000000 [1512580224.000000]
1 <-> 0.000000 [2393459712.000000]
1 <-> 0.000000 [1065386240.000000]
1 <-> 0.000000 [1065386240.000000]
1 <-> 0.000000 [1086454272.000000]
1 <-> 0.000000 [1073907712.000000]
1 <-> 0.000000 [1084227584.000000]
1 <-> 0.000000 [2404722944.000000]
