Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [66058856.000000]
0 <-> 0.000000 [54276628.000000]
0 <-> 0.000000 [15807631.000000]
0 <-> 0.000000 [78277120.000000]
0 <-> 0.000000 [71348128.000000]
0 <-> 0.000000 [23320596.000000]
0 <-> 0.000000 [90253664.000000]
0 <-> 0.000000 [64297364.000000]
0 <-> 0.000000 [28219166.000000]
0 <-> 0.000000 [56743884.000000]
0 <-> 0.000000 [73079616.000000]
0 <-> 0.000000 [31756384.000000]
0 <-> 0.000000 [82324096.000000]
0 <-> 0.000000 [70588232.000000]
0 <-> 0.000000 [35587012.000000]
0 <-> 0.000000 [55032292.000000]
0 <-> 0.000000 [76315240.000000]
0 <-> 0.000000 [38974916.000000]
0 <-> 0.000000 [87942576.000000]
0 <-> 0.000000 [83369912.000000]
0 <-> 0.000000 [41432024.000000]
0 <-> 0.000000 [62830160.000000]
0 <-> 0.000000 [81397224.000000]
0 <-> 0.000000 [43306360.000000]
0 <-> 0.000000 [80599824.000000]
0 <-> 0.000000 [82378112.000000]
0 <-> 0.000000 [44606684.000000]
0 <-> 0.000000 [76346936.000000]
0 <-> 0.000000 [79840848.000000]
0 <-> 0.000000 [45437024.000000]
0 <-> 0.000000 [61117932.000000]
0 <-> 0.000000 [78653920.000000]
0 <-> 0.000000 [46658668.000000]
0 <-> 0.000000 [70132896.000000]
0 <-> 0.000000 [82070480.000000]
0 <-> 0.000000 [47499432.000000]
0 <-> 0.000000 [78636104.000000]
0 <-> 0.000000 [83474288.000000]
0 <-> 0.000000 [48655240.000000]
0 <-> 0.000000 [75667040.000000]
0 <-> 0.000000 [80979048.000000]
0 <-> 0.000000 [49430768.000000]
0 <-> 0.000000 [60339404.000000]
0 <-> 0.000000 [80968160.000000]
0 <-> 0.000000 [51334460.000000]
0 <-> 0.000000 [63242240.000000]
0 <-> 0.000000 [81747760.000000]
0 <-> 0.000000 [52424140.000000]
0 <-> 0.000000 [71251136.000000]
0 <-> 0.000000 [89223320.000000]
0 <-> 0.000000 [53461032.000000]
0 <-> 0.000000 [85727056.000000]
0 <-> 0.000000 [87737264.000000]
0 <-> 0.000000 [54662680.000000]
0 <-> 0.000000 [79372968.000000]
0 <-> 0.000000 [92542400.000000]
0 <-> 0.000000 [56355100.000000]
0 <-> 0.000000 [85646856.000000]
0 <-> 0.000000 [87035000.000000]
0 <-> 0.000000 [57128772.000000]
0 <-> 0.000000 [77626232.000000]
0 <-> 0.000000 [90961992.000000]
0 <-> 0.000000 [57861240.000000]
0 <-> 0.000000 [77983224.000000]
0 <-> 0.000000 [90162512.000000]
0 <-> 0.000000 [58268360.000000]
0 <-> 0.000000 [68401072.000000]
0 <-> 0.000000 [91482824.000000]
0 <-> 0.000000 [59000512.000000]
0 <-> 0.000000 [75076232.000000]
0 <-> 0.000000 [89047936.000000]
0 <-> 0.000000 [59368176.000000]
0 <-> 0.000000 [61763464.000000]
0 <-> 0.000000 [89553216.000000]
0 <-> 0.000000 [60140912.000000]
0 <-> 0.000000 [75028616.000000]
0 <-> 0.000000 [91974736.000000]
0 <-> 0.000000 [60872836.000000]
0 <-> 0.000000 [77859752.000000]
0 <-> 0.000000 [91651560.000000]
0 <-> 0.000000 [61282380.000000]
0 <-> 0.000000 [68280408.000000]
0 <-> 0.000000 [90564144.000000]
0 <-> 0.000000 [62013996.000000]
0 <-> 0.000000 [74984640.000000]
0 <-> 0.000000 [92959328.000000]
0 <-> 0.000000 [63027924.000000]
0 <-> 0.000000 [62722884.000000]
0 <-> 0.000000 [97198392.000000]
0 <-> 0.000000 [64008364.000000]
0 <-> 0.000000 [85434768.000000]
0 <-> 0.000000 [95186048.000000]
0 <-> 0.000000 [64818948.000000]
0 <-> 0.000000 [79102384.000000]
0 <-> 0.000000 [94740288.000000]
0 <-> 0.000000 [65970052.000000]
0 <-> 0.000000 [85952064.000000]
0 <-> 0.000000 [99209720.000000]
0 <-> 0.000000 [66357916.000000]
0 <-> 0.000000 [63771376.000000]
0 <-> 0.000000 [93835576.000000]
0 <-> 0.000000 [66640204.000000]
0 <-> 0.000000 [77437880.000000]
0 <-> 0.000000 [97437720.000000]
0 <-> 0.000000 [66904136.000000]
0 <-> 0.000000 [59652160.000000]
0 <-> 0.000000 [95119928.000000]
0 <-> 0.000000 [67189232.000000]
0 <-> 0.000000 [74989680.000000]
0 <-> 0.000000 [97253024.000000]
0 <-> 0.000000 [67492792.000000]
0 <-> 0.000000 [77845632.000000]
0 <-> 0.000000 [96632480.000000]
0 <-> 0.000000 [67694088.000000]
0 <-> 0.000000 [69074016.000000]
0 <-> 0.000000 [93922504.000000]
0 <-> 0.000000 [67976848.000000]
0 <-> 0.000000 [69082472.000000]
0 <-> 0.000000 [96755176.000000]
0 <-> 0.000000 [68178728.000000]
0 <-> 0.000000 [77868136.000000]
0 <-> 0.000000 [94048824.000000]
