Original Adjacency List:
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [0.000000]
0 <-> 0.000000 [50250744.000000]
0 <-> 0.000000 [44178464.000000]
0 <-> 0.000000 [12597599.000000]
0 <-> 0.000000 [46861784.000000]
0 <-> 0.000000 [43516908.000000]
0 <-> 0.000000 [18915574.000000]
0 <-> 0.000000 [35854704.000000]
0 <-> 0.000000 [45608756.000000]
0 <-> 0.000000 [23068720.000000]
0 <-> 0.000000 [35647680.000000]
0 <-> 0.000000 [44067416.000000]
0 <-> 0.000000 [26226114.000000]
0 <-> 0.000000 [30966284.000000]
0 <-> 0.000000 [46246296.000000]
0 <-> 0.000000 [28317214.000000]
0 <-> 0.000000 [2128216448.000000]
0 <-> 0.000000 [44988760.000000]
0 <-> 0.000000 [30408712.000000]
0 <-> 0.000000 [35036500.000000]
0 <-> 0.000000 [44734336.000000]
0 <-> 0.000000 [32513848.000000]
0 <-> 0.000000 [33335712.000000]
0 <-> 0.000000 [44624412.000000]
0 <-> 0.000000 [34078744.000000]
0 <-> 0.000000 [38984908.000000]
0 <-> 0.000000 [43481992.000000]
0 <-> 0.000000 [35132028.000000]
0 <-> 0.000000 [32003670.000000]
0 <-> 0.000000 [45719924.000000]
0 <-> 0.000000 [36180180.000000]
0 <-> 0.000000 [32436206.000000]
0 <-> 0.000000 [43899836.000000]
0 <-> 0.000000 [50250744.000000]
0 <-> 0.000000 [44178464.000000]
0 <-> 0.000000 [12597599.000000]
0 <-> 0.000000 [46861784.000000]
0 <-> 0.000000 [43516908.000000]
0 <-> 0.000000 [18915574.000000]
0 <-> 0.000000 [35854704.000000]
0 <-> 0.000000 [45608756.000000]
0 <-> 0.000000 [23068720.000000]
0 <-> 0.000000 [35647680.000000]
0 <-> 0.000000 [44067416.000000]
0 <-> 0.000000 [26226114.000000]
0 <-> 0.000000 [30966284.000000]
0 <-> 0.000000 [46246296.000000]
0 <-> 0.000000 [28317214.000000]
0 <-> 0.000000 [2128216448.000000]
0 <-> 0.000000 [44988760.000000]
0 <-> 0.000000 [30408712.000000]
0 <-> 0.000000 [35036500.000000]
0 <-> 0.000000 [44734336.000000]
0 <-> 0.000000 [32513848.000000]
0 <-> 0.000000 [33335712.000000]
0 <-> 0.000000 [44624412.000000]
0 <-> 0.000000 [34078744.000000]
0 <-> 0.000000 [38984908.000000]
0 <-> 0.000000 [43481992.000000]
0 <-> 0.000000 [35132028.000000]
0 <-> 0.000000 [32003670.000000]
0 <-> 0.000000 [45719924.000000]
0 <-> 0.000000 [36180180.000000]
0 <-> 0.000000 [32436206.000000]
0 <-> 0.000000 [43899836.000000]
1 <-> 0.000000 [50250744.000000]
1 <-> 0.000000 [50250744.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [0.000000]
1 <-> 0.000000 [31533620.000000]
1 <-> 0.000000 [42707084.000000]
1 <-> 0.000000 [8773196.000000]
1 <-> 0.000000 [29779330.000000]
1 <-> 0.000000 [37960468.000000]
1 <-> 0.000000 [14933567.000000]
1 <-> 0.000000 [22469564.000000]
1 <-> 0.000000 [37491216.000000]
1 <-> 0.000000 [17608890.000000]
1 <-> 0.000000 [28503074.000000]
1 <-> 0.000000 [37247740.000000]
1 <-> 0.000000 [21154012.000000]
1 <-> 0.000000 [23643742.000000]
1 <-> 0.000000 [35439776.000000]
1 <-> 0.000000 [2164142336.000000]
1 <-> 0.000000 [25467008.000000]
1 <-> 0.000000 [35588396.000000]
1 <-> 0.000000 [23262784.000000]
1 <-> 0.000000 [25431454.000000]
1 <-> 0.000000 [34633324.000000]
1 <-> 0.000000 [25494248.000000]
1 <-> 0.000000 [28191428.000000]
1 <-> 0.000000 [35196548.000000]
1 <-> 0.000000 [26295670.000000]
1 <-> 0.000000 [29707476.000000]
1 <-> 0.000000 [35774660.000000]
1 <-> 0.000000 [27693718.000000]
1 <-> 0.000000 [24649360.000000]
1 <-> 0.000000 [35749900.000000]
1 <-> 0.000000 [28617486.000000]
1 <-> 0.000000 [29580034.000000]
1 <-> 0.000000 [31533620.000000]
1 <-> 0.000000 [42707084.000000]
1 <-> 0.000000 [8773196.000000]
1 <-> 0.000000 [29779330.000000]
1 <-> 0.000000 [37960468.000000]
1 <-> 0.000000 [14933567.000000]
1 <-> 0.000000 [22469564.000000]
1 <-> 0.000000 [37491216.000000]
1 <-> 0.000000 [17608890.000000]
1 <-> 0.000000 [28503074.000000]
1 <-> 0.000000 [37247740.000000]
1 <-> 0.000000 [21154012.000000]
1 <-> 0.000000 [23643742.000000]
1 <-> 0.000000 [35439776.000000]
1 <-> 0.000000 [2164142336.000000]
1 <-> 0.000000 [25467008.000000]
1 <-> 0.000000 [35588396.000000]
1 <-> 0.000000 [23262784.000000]
1 <-> 0.000000 [25431454.000000]
1 <-> 0.000000 [34633324.000000]
1 <-> 0.000000 [25494248.000000]
1 <-> 0.000000 [28191428.000000]
1 <-> 0.000000 [35196548.000000]
